admission_id,student_id,student_name,mobile_no,email,location,qualification,course,mode,admission_date,attended_by,status
ADM0016,STU0016,Keerthi,9171524227,keerthi16@gmail.com,Trivandrum,UG,React Frontend Developer,Offline,1/8/2025,Shivaprasad,Admitted
ADM0017,STU0017,Imran,9967330816,imran17@gmail.com,Palakkad,UG,Data Science with Python,Offline,1/8/2025,Rifana,Admitted
ADM0018,STU0018,Arjun,9458942659,arjun18@gmail.com,Trivandrum,Working Professional,Python Full Stack Development,Offline,1/8/2025,Praveena,Admitted
ADM0019,STU0019,Pooja,9366291829,pooja19@gmail.com,Thrissur,UG,Python Full Stack Development,Offline,1/11/2025,Rifana,Admitted
ADM0020,STU0020,Meena,9426161752,meena20@gmail.com,Thrissur,PG,MERN Stack Development,Offline,1/12/2025,Praveena,Admitted
ADM0021,STU0021,Tanya,9957527291,tanya21@gmail.com,Calicut,UG,Python Full Stack Development,Offline,1/12/2025,Rifana,Admitted
ADM0022,STU0022,Arjun,9668048638,arjun22@gmail.com,Thrissur,UG,Python Full Stack Development,Online,1/12/2025,Praveena,Admitted
ADM0023,STU0023,Divya,9308519616,divya23@gmail.com,Calicut,UG,Data Science with Python,Online,1/12/2025,Baiju,Admitted
ADM0024,STU0024,Aman,9602548575,aman24@gmail.com,Calicut,PG,MERN Stack Development,Offline,1/13/2025,Rifana,Admitted
ADM0025,STU0025,Reshma,9163040928,reshma25@gmail.com,Trivandrum,PG,React Frontend Developer,Offline,1/13/2025,Rifana,Admitted
ADM0026,STU0026,Nisha,9637363422,nisha26@gmail.com,Thrissur,UG,Data Science with Python,Offline,1/13/2025,Shivaprasad,Admitted
ADM0027,STU0027,Vivek,9418075097,vivek27@gmail.com,Kottayam,UG,Data Science with Python,Online,1/14/2025,Rifana,Admitted
ADM0028,STU0028,Rahul,9441551780,rahul28@gmail.com,Kottayam,UG,React Frontend Developer,Offline,1/15/2025,Shivaprasad,Admitted
ADM0029,STU0029,Sanjay,9119522639,sanjay29@gmail.com,Calicut,UG,Python Full Stack Development,Offline,1/15/2025,Rifana,Admitted
ADM0030,STU0030,Zara,9333689288,zara30@gmail.com,Thrissur,UG,Data Science with Python,Offline,1/15/2025,Praveena,Admitted
ADM0031,STU0031,Sahil,9152745255,sahil31@gmail.com,Palakkad,UG,Data Science with Python,Offline,1/15/2025,Shivaprasad,Admitted
ADM0032,STU0032,Arjun,9529660555,arjun32@gmail.com,Thrissur,UG,Data Science with Python,Offline,1/15/2025,Praveena,Admitted
ADM0033,STU0033,Aisha,9809785326,aisha33@gmail.com,Trivandrum,UG,Data Science with Python,Offline,1/16/2025,Praveena,Admitted
ADM0034,STU0034,John,9728911147,john34@gmail.com,Kottayam,UG,React Frontend Developer,Offline,1/16/2025,Baiju,Admitted
ADM0035,STU0035,Faisal,9252730416,faisal35@gmail.com,Calicut,UG,Data Science with Python,Offline,1/16/2025,Rifana,Admitted
ADM0036,STU0036,Tanya,9776119601,tanya36@gmail.com,Trivandrum,UG,React Frontend Developer,Online,1/16/2025,Rifana,Admitted
ADM0037,STU0037,Aman,9216936580,aman37@gmail.com,Kottayam,UG,Data Science with Python,Offline,1/17/2025,Praveena,Admitted
ADM0038,STU0038,Farhan,9309444484,farhan38@gmail.com,Kannur,UG,Cyber Security,Offline,1/17/2025,Praveena,Admitted
ADM0039,STU0039,Kiran,9249435404,kiran39@gmail.com,Calicut,PG,Data Science with Python,Offline,1/19/2025,Rifana,Admitted
ADM0040,STU0040,Harsha,9978794474,harsha40@gmail.com,Trivandrum,UG,Data Science with Python,Offline,1/20/2025,Rifana,Admitted
ADM0041,STU0041,Sahil,9439007882,sahil41@gmail.com,Calicut,PG,MERN Stack Development,Offline,1/20/2025,Praveena,Admitted
ADM0042,STU0042,Aisha,9240124428,aisha42@gmail.com,Calicut,UG,Data Science with Python,Offline,1/20/2025,Praveena,Admitted
ADM0043,STU0043,Imran,9743804648,imran43@gmail.com,Kottayam,UG,Data Science with Python,Offline,1/21/2025,Praveena,Admitted
ADM0044,STU0044,Rahul,9416809411,rahul44@gmail.com,Kottayam,UG,MERN Stack Development,Online,1/21/2025,Rifana,Admitted
ADM0045,STU0045,Aman,9898226091,aman45@gmail.com,Thrissur,UG,Data Science with Python,Offline,1/22/2025,Rifana,Admitted
ADM0046,STU0046,John,9866245638,john46@gmail.com,Trivandrum,UG,React Frontend Developer,Offline,1/22/2025,Shivaprasad,Admitted
ADM0047,STU0047,John,9343779187,john47@gmail.com,Thrissur,UG,MERN Stack Development,Online,1/22/2025,Praveena,Admitted
ADM0048,STU0048,Zara,9840865935,zara48@gmail.com,Palakkad,UG,DevOps,Offline,1/22/2025,Rifana,Admitted
ADM0049,STU0049,Nisha,9213215254,nisha49@gmail.com,Kottayam,UG,React Frontend Developer,Offline,1/23/2025,Shivaprasad,Admitted
ADM0050,STU0050,Sahil,9557128404,sahil50@gmail.com,Kochi,UG,MERN Stack Development,Offline,1/23/2025,Baiju,Admitted
ADM0051,STU0051,Aisha,9374283002,aisha51@gmail.com,Palakkad,UG,MERN Stack Development,Offline,1/24/2025,Praveena,Admitted
ADM0052,STU0052,Arjun,9993219202,arjun52@gmail.com,Kochi,PG,Data Science with Python,Offline,1/24/2025,Praveena,Admitted
ADM0053,STU0053,Aman,9616432805,aman53@gmail.com,Trivandrum,UG,Python Full Stack Development,Online,1/24/2025,Baiju,Admitted
ADM0054,STU0054,Faisal,9624256292,faisal54@gmail.com,Palakkad,UG,Data Science with Python,Online,1/25/2025,Praveena,Admitted
ADM0055,STU0055,Tanya,9863653930,tanya55@gmail.com,Palakkad,UG,Data Science with Python,Offline,1/25/2025,Rifana,Admitted
ADM0056,STU0056,Aisha,9273302551,aisha56@gmail.com,Trivandrum,UG,Data Science with Python,Offline,1/25/2025,Rifana,Admitted
ADM0057,STU0057,Aisha,9647080386,aisha57@gmail.com,Trivandrum,PG,MERN Stack Development,Offline,1/25/2025,Rifana,Admitted
ADM0058,STU0058,Aisha,9745617582,aisha58@gmail.com,Calicut,UG,React Frontend Developer,Offline,1/25/2025,Rifana,Admitted
ADM0059,STU0059,Faisal,9114612881,faisal59@gmail.com,Kottayam,UG,Python Full Stack Development,Online,1/26/2025,Baiju,Admitted
ADM0060,STU0060,Harsha,9681032020,harsha60@gmail.com,Kannur,UG,MERN Stack Development,Online,1/26/2025,Baiju,Admitted
ADM0061,STU0061,Kiran,9992409832,kiran61@gmail.com,Trivandrum,UG,MERN Stack Development,Online,1/26/2025,Shivaprasad,Admitted
ADM0062,STU0062,Nisha,9821593793,nisha62@gmail.com,Thrissur,UG,Data Science with Python,Online,1/27/2025,Rifana,Admitted
ADM0063,STU0063,Neeraj,9144278390,neeraj63@gmail.com,Calicut,UG,React Frontend Developer,Online,1/28/2025,Shivaprasad,Admitted
ADM0064,STU0064,Farhan,9381191864,farhan64@gmail.com,Thrissur,PG,Python Full Stack Development,Offline,1/28/2025,Shivaprasad,Admitted
ADM0065,STU0065,Farhan,9989295830,farhan65@gmail.com,Trivandrum,PG,DevOps,Offline,2/1/2025,Rifana,Admitted
ADM0066,STU0066,Pooja,9239423506,pooja66@gmail.com,Calicut,Working Professional,MERN Stack Development,Offline,2/2/2025,Shivaprasad,Admitted
ADM0067,STU0067,Tanya,9929454493,tanya67@gmail.com,Calicut,UG,Python Full Stack Development,Offline,2/3/2025,Shivaprasad,Admitted
ADM0068,STU0068,Naveen,9555315633,naveen68@gmail.com,Thrissur,UG,Python Full Stack Development,Offline,2/3/2025,Rifana,Admitted
ADM0069,STU0069,Vivek,9289333975,vivek69@gmail.com,Calicut,UG,MERN Stack Development,Offline,2/3/2025,Shivaprasad,Admitted
ADM0070,STU0070,Varun,9807197552,varun70@gmail.com,Kottayam,PG,Python Full Stack Development,Offline,2/3/2025,Praveena,Admitted
ADM0071,STU0071,Harsha,9876623285,harsha71@gmail.com,Thrissur,Working Professional,Data Science with Python,Offline,2/3/2025,Baiju,Admitted
ADM0072,STU0072,Kiran,9673203752,kiran72@gmail.com,Thrissur,UG,Cyber Security,Offline,2/3/2025,Shivaprasad,Admitted
ADM0073,STU0073,Sanjay,9563676405,sanjay73@gmail.com,Kottayam,UG,MERN Stack Development,Offline,2/4/2025,Praveena,Admitted
ADM0074,STU0074,Reshma,9897098855,reshma74@gmail.com,Thrissur,PG,MERN Stack Development,Offline,2/4/2025,Rifana,Admitted
ADM0075,STU0075,Aman,9476416458,aman75@gmail.com,Calicut,UG,Python Full Stack Development,Offline,2/5/2025,Rifana,Admitted
ADM0076,STU0076,Anjali,9961897856,anjali76@gmail.com,Palakkad,UG,Business Analytics,Offline,2/6/2025,Praveena,Admitted
ADM0077,STU0077,Manoj,9277634952,manoj77@gmail.com,Trivandrum,PG,MERN Stack Development,Offline,2/6/2025,Praveena,Admitted
ADM0078,STU0078,Aisha,9907821728,aisha78@gmail.com,Kannur,UG,MERN Stack Development,Offline,2/6/2025,Praveena,Admitted
ADM0079,STU0079,Farhan,9494044428,farhan79@gmail.com,Trivandrum,UG,React Frontend Developer,Offline,2/6/2025,Rifana,Admitted
ADM0080,STU0080,John,9885625741,john80@gmail.com,Kannur,Working Professional,Data Science with Python,Online,2/7/2025,Rifana,Admitted
ADM0081,STU0081,Sanjay,9689071265,sanjay81@gmail.com,Thrissur,UG,Python Full Stack Development,Offline,2/7/2025,Baiju,Admitted
ADM0082,STU0082,Anjali,9150501860,anjali82@gmail.com,Trivandrum,UG,Data Science with Python,Offline,2/7/2025,Baiju,Admitted
ADM0083,STU0083,John,9706815564,john83@gmail.com,Trivandrum,Working Professional,Cyber Security,Online,2/8/2025,Baiju,Admitted
ADM0084,STU0084,Rohit,9888840285,rohit84@gmail.com,Kannur,UG,Python Full Stack Development,Offline,2/8/2025,Rifana,Admitted
ADM0085,STU0085,Sanjay,9210227903,sanjay85@gmail.com,Kochi,PG,Data Science with Python,Online,2/8/2025,Shivaprasad,Admitted
ADM0086,STU0086,Kiran,9882002112,kiran86@gmail.com,Palakkad,Working Professional,React Frontend Developer,Online,2/9/2025,Shivaprasad,Admitted
ADM0087,STU0087,Manoj,9568814176,manoj87@gmail.com,Kottayam,UG,Data Science with Python,Online,2/9/2025,Praveena,Admitted
ADM0088,STU0088,Sneha,9666716458,sneha88@gmail.com,Kannur,UG,Data Science with Python,Offline,2/9/2025,Shivaprasad,Admitted
ADM0089,STU0089,Anjali,9152393399,anjali89@gmail.com,Calicut,PG,Data Science with Python,Offline,2/9/2025,Rifana,Admitted
ADM0090,STU0090,Sanjay,9244193821,sanjay90@gmail.com,Trivandrum,UG,Cyber Security,Offline,2/9/2025,Praveena,Admitted
ADM0091,STU0091,Vivek,9804470936,vivek91@gmail.com,Trivandrum,PG,Data Science with Python,Offline,2/10/2025,Rifana,Admitted
ADM0092,STU0092,Ajay,9968150269,ajay92@gmail.com,Trivandrum,PG,Python Full Stack Development,Offline,2/10/2025,Baiju,Admitted
ADM0093,STU0093,Meena,9945990103,meena93@gmail.com,Trivandrum,UG,DevOps,Offline,2/10/2025,Baiju,Admitted
ADM0094,STU0094,Imran,9768139011,imran94@gmail.com,Calicut,UG,Data Science with Python,Offline,2/11/2025,Shivaprasad,Admitted
ADM0095,STU0095,Faisal,9913422489,faisal95@gmail.com,Kottayam,UG,Python Full Stack Development,Offline,2/11/2025,Baiju,Admitted
ADM0096,STU0096,Naveen,9812971225,naveen96@gmail.com,Kochi,PG,React Frontend Developer,Offline,2/11/2025,Baiju,Admitted
ADM0097,STU0097,Pooja,9143082425,pooja97@gmail.com,Palakkad,UG,React Frontend Developer,Offline,2/11/2025,Rifana,Admitted
ADM0098,STU0098,Irfan,9713521320,irfan98@gmail.com,Kottayam,PG,React Frontend Developer,Offline,2/11/2025,Shivaprasad,Admitted
ADM0099,STU0099,Aisha,9724222183,aisha99@gmail.com,Palakkad,UG,Python Full Stack Development,Offline,2/12/2025,Praveena,Admitted
ADM0100,STU0100,Ajay,9925251223,ajay100@gmail.com,Kottayam,UG,Python Full Stack Development,Offline,2/12/2025,Shivaprasad,Admitted
ADM0101,STU0101,Zara,9246396014,zara101@gmail.com,Trivandrum,UG,MERN Stack Development,Offline,2/12/2025,Praveena,Admitted
ADM0102,STU0102,Farhan,9229149122,farhan102@gmail.com,Kannur,UG,React Frontend Developer,Offline,2/12/2025,Rifana,Admitted
ADM0103,STU0103,Sneha,9309104956,sneha103@gmail.com,Trivandrum,UG,Python Full Stack Development,Offline,2/13/2025,Praveena,Admitted
ADM0104,STU0104,Irfan,9356041201,irfan104@gmail.com,Kochi,UG,Cyber Security,Offline,2/14/2025,Praveena,Admitted
ADM0105,STU0105,Sanjay,9402864945,sanjay105@gmail.com,Trivandrum,UG,Python Full Stack Development,Offline,2/14/2025,Rifana,Admitted
ADM0106,STU0106,Aisha,9923448978,aisha106@gmail.com,Kannur,UG,Python Full Stack Development,Offline,2/14/2025,Praveena,Admitted
ADM0107,STU0107,Faisal,9794012028,faisal107@gmail.com,Kochi,PG,MERN Stack Development,Online,2/14/2025,Praveena,Admitted
ADM0108,STU0108,Harsha,9104925118,harsha108@gmail.com,Calicut,UG,Data Science with Python,Offline,2/14/2025,Praveena,Admitted
ADM0109,STU0109,Rahul,9999967711,rahul109@gmail.com,Palakkad,Working Professional,MERN Stack Development,Offline,2/14/2025,Rifana,Admitted
ADM0110,STU0110,Rohit,9449610065,rohit110@gmail.com,Kottayam,UG,Python Full Stack Development,Offline,2/15/2025,Praveena,Admitted
ADM0111,STU0111,Anjali,9466017386,anjali111@gmail.com,Thrissur,UG,React Frontend Developer,Offline,2/15/2025,Praveena,Admitted
ADM0112,STU0112,Keerthi,9364293483,keerthi112@gmail.com,Thrissur,UG,MERN Stack Development,Offline,2/15/2025,Rifana,Admitted
ADM0113,STU0113,Keerthi,9734380686,keerthi113@gmail.com,Calicut,PG,React Frontend Developer,Offline,2/16/2025,Rifana,Admitted
ADM0114,STU0114,Pooja,9136134772,pooja114@gmail.com,Kottayam,UG,MERN Stack Development,Offline,2/16/2025,Baiju,Admitted
ADM0115,STU0115,Imran,9676926504,imran115@gmail.com,Kannur,Working Professional,DevOps,Offline,2/18/2025,Rifana,Admitted
ADM0116,STU0116,Rahul,9128630753,rahul116@gmail.com,Kottayam,UG,React Frontend Developer,Offline,2/18/2025,Baiju,Admitted
ADM0117,STU0117,Rohit,9217586100,rohit117@gmail.com,Trivandrum,Working Professional,Python Full Stack Development,Offline,2/18/2025,Baiju,Admitted
ADM0118,STU0118,Divya,9408000073,divya118@gmail.com,Kottayam,UG,Data Science with Python,Offline,2/18/2025,Shivaprasad,Admitted
ADM0119,STU0119,Imran,9665879198,imran119@gmail.com,Kottayam,UG,Python Full Stack Development,Offline,2/18/2025,Rifana,Admitted
ADM0120,STU0120,Reshma,9554401329,reshma120@gmail.com,Palakkad,UG,Data Science with Python,Offline,2/19/2025,Praveena,Admitted
ADM0121,STU0121,Meena,9352851720,meena121@gmail.com,Calicut,PG,Data Science with Python,Offline,2/19/2025,Shivaprasad,Admitted
ADM0122,STU0122,Anjali,9240013312,anjali122@gmail.com,Calicut,UG,Python Full Stack Development,Offline,2/19/2025,Praveena,Admitted
ADM0123,STU0123,Faisal,9721124699,faisal123@gmail.com,Trivandrum,UG,React Frontend Developer,Offline,2/19/2025,Praveena,Admitted
ADM0124,STU0124,Rohit,9643371948,rohit124@gmail.com,Kannur,UG,Data Science with Python,Online,2/20/2025,Rifana,Admitted
ADM0125,STU0125,Faisal,9295122562,faisal125@gmail.com,Kannur,PG,Data Science with Python,Online,2/20/2025,Shivaprasad,Admitted
ADM0126,STU0126,Arjun,9839801128,arjun126@gmail.com,Kochi,UG,Data Science with Python,Offline,2/21/2025,Rifana,Admitted
ADM0127,STU0127,Ajay,9662506287,ajay127@gmail.com,Thrissur,UG,Data Science with Python,Online,2/21/2025,Rifana,Admitted
ADM0128,STU0128,Imran,9755325042,imran128@gmail.com,Thrissur,PG,Python Full Stack Development,Online,2/21/2025,Shivaprasad,Admitted
ADM0129,STU0129,Farhan,9774234023,farhan129@gmail.com,Thrissur,12th,DevOps,Offline,2/22/2025,Praveena,Admitted
ADM0130,STU0130,Naveen,9240469282,naveen130@gmail.com,Trivandrum,UG,MERN Stack Development,Online,2/22/2025,Rifana,Admitted
ADM0131,STU0131,Rahul,9370211113,rahul131@gmail.com,Thrissur,UG,Data Science with Python,Online,2/22/2025,Rifana,Admitted
ADM0132,STU0132,Irfan,9479034853,irfan132@gmail.com,Thrissur,UG,React Frontend Developer,Offline,2/23/2025,Rifana,Admitted
ADM0133,STU0133,Meena,9829456631,meena133@gmail.com,Kottayam,UG,Data Science with Python,Offline,2/23/2025,Rifana,Admitted
ADM0134,STU0134,Divya,9602079267,divya134@gmail.com,Kochi,UG,Data Science with Python,Offline,2/23/2025,Praveena,Admitted
ADM0135,STU0135,Tanya,9984928559,tanya135@gmail.com,Thrissur,UG,Data Science with Python,Offline,2/24/2025,Baiju,Admitted
ADM0136,STU0136,Arjun,9443149241,arjun136@gmail.com,Palakkad,UG,Data Science with Python,Offline,2/24/2025,Shivaprasad,Admitted
ADM0137,STU0137,Rohit,9183330955,rohit137@gmail.com,Kannur,PG,Data Science with Python,Offline,2/25/2025,Shivaprasad,Admitted
ADM0138,STU0138,Reshma,9855675602,reshma138@gmail.com,Kottayam,UG,Data Science with Python,Offline,2/25/2025,Baiju,Admitted
ADM0139,STU0139,Meena,9260870454,meena139@gmail.com,Kochi,PG,Python Full Stack Development,Offline,2/25/2025,Baiju,Admitted
ADM0140,STU0140,Faisal,9654288413,faisal140@gmail.com,Kochi,Working Professional,Python Full Stack Development,Offline,2/25/2025,Rifana,Admitted
ADM0141,STU0141,Imran,9181515660,imran141@gmail.com,Calicut,UG,Data Science with Python,Offline,2/25/2025,Baiju,Admitted
ADM0142,STU0142,Naveen,9562266118,naveen142@gmail.com,Trivandrum,UG,Data Science with Python,Offline,2/25/2025,Baiju,Admitted
ADM0143,STU0143,Zara,9119947911,zara143@gmail.com,Kannur,Working Professional,React Frontend Developer,Offline,2/26/2025,Praveena,Admitted
ADM0144,STU0144,Irfan,9840996710,irfan144@gmail.com,Kannur,UG,Data Science with Python,Offline,2/26/2025,Praveena,Admitted
ADM0145,STU0145,Meena,9555798938,meena145@gmail.com,Calicut,UG,Flutter Development,Online,2/26/2025,Shivaprasad,Admitted
ADM0146,STU0146,Arjun,9180146388,arjun146@gmail.com,Kannur,Working Professional,MERN Stack Development,Offline,2/26/2025,Shivaprasad,Admitted
ADM0147,STU0147,Sahil,9165788471,sahil147@gmail.com,Kottayam,UG,UI/UX Design,Offline,2/27/2025,Rifana,Admitted
ADM0148,STU0148,Sneha,9728403356,sneha148@gmail.com,Kochi,UG,MERN Stack Development,Offline,2/27/2025,Praveena,Admitted
ADM0149,STU0149,Kiran,9481971984,kiran149@gmail.com,Kottayam,UG,MERN Stack Development,Offline,2/28/2025,Shivaprasad,Admitted
ADM0150,STU0150,Reshma,9573240892,reshma150@gmail.com,Kottayam,UG,Data Science with Python,Offline,3/1/2025,Shivaprasad,Admitted
ADM0151,STU0151,Kiran,9825371217,kiran151@gmail.com,Thrissur,UG,Data Science with Python,Offline,3/1/2025,Praveena,Admitted
ADM0152,STU0152,Sahil,9568454365,sahil152@gmail.com,Trivandrum,UG,React Frontend Developer,Offline,3/2/2025,Shivaprasad,Admitted
ADM0153,STU0153,Anjali,9590954602,anjali153@gmail.com,Kannur,UG,React Frontend Developer,Online,3/2/2025,Praveena,Admitted
ADM0154,STU0154,Pooja,9420347644,pooja154@gmail.com,Thrissur,UG,Data Science with Python,Online,3/3/2025,Baiju,Admitted
ADM0155,STU0155,Tanya,9400167157,tanya155@gmail.com,Thrissur,PG,Python Full Stack Development,Offline,3/3/2025,Shivaprasad,Admitted
ADM0156,STU0156,Divya,9167097153,divya156@gmail.com,Calicut,Working Professional,Python Full Stack Development,Online,3/4/2025,Praveena,Admitted
ADM0157,STU0157,Anjali,9698487547,anjali157@gmail.com,Palakkad,UG,Python Full Stack Development,Offline,3/4/2025,Rifana,Admitted
ADM0158,STU0158,Aman,9985878304,aman158@gmail.com,Trivandrum,UG,React Frontend Developer,Offline,3/5/2025,Praveena,Admitted
ADM0159,STU0159,Harsha,9665241068,harsha159@gmail.com,Trivandrum,PG,Data Science with Python,Offline,3/5/2025,Rifana,Admitted
ADM0160,STU0160,Imran,9992954525,imran160@gmail.com,Calicut,UG,Data Science with Python,Offline,3/5/2025,Shivaprasad,Admitted
ADM0161,STU0161,Aman,9264230155,aman161@gmail.com,Calicut,UG,React Frontend Developer,Offline,3/5/2025,Praveena,Admitted
ADM0162,STU0162,Faisal,9875926766,faisal162@gmail.com,Palakkad,UG,Data Science with Python,Online,3/6/2025,Shivaprasad,Admitted
ADM0163,STU0163,Divya,9983131288,divya163@gmail.com,Thrissur,UG,Data Science with Python,Online,3/6/2025,Shivaprasad,Admitted
ADM0164,STU0164,Ajay,9237489717,ajay164@gmail.com,Kottayam,PG,Data Science with Python,Offline,3/6/2025,Baiju,Admitted
ADM0165,STU0165,Nisha,9253147568,nisha165@gmail.com,Kottayam,PG,Python Full Stack Development,Offline,3/6/2025,Rifana,Admitted
ADM0166,STU0166,Divya,9656654872,divya166@gmail.com,Kannur,UG,React Frontend Developer,Offline,3/6/2025,Praveena,Admitted
ADM0167,STU0167,Sanjay,9793474838,sanjay167@gmail.com,Calicut,UG,React Frontend Developer,Offline,3/6/2025,Rifana,Admitted
ADM0168,STU0168,Zara,9287356671,zara168@gmail.com,Kottayam,UG,Cyber Security,Offline,3/6/2025,Baiju,Admitted
ADM0169,STU0169,Farhan,9141803548,farhan169@gmail.com,Palakkad,PG,Data Science with Python,Offline,3/7/2025,Praveena,Admitted
ADM0170,STU0170,Naveen,9888948452,naveen170@gmail.com,Kottayam,UG,Data Science with Python,Offline,3/7/2025,Praveena,Admitted
ADM0171,STU0171,Meena,9873003653,meena171@gmail.com,Thrissur,PG,MERN Stack Development,Online,3/7/2025,Baiju,Admitted
ADM0172,STU0172,Pooja,9575887038,pooja172@gmail.com,Kochi,UG,MERN Stack Development,Offline,3/8/2025,Baiju,Admitted
ADM0173,STU0173,Pooja,9999941053,pooja173@gmail.com,Thrissur,UG,Business Analytics,Offline,3/8/2025,Baiju,Admitted
ADM0174,STU0174,Arjun,9166819992,arjun174@gmail.com,Kochi,Working Professional,Flutter Development,Offline,3/8/2025,Baiju,Admitted
ADM0175,STU0175,Harsha,9726730773,harsha175@gmail.com,Palakkad,PG,React Frontend Developer,Offline,3/8/2025,Praveena,Admitted
ADM0176,STU0176,Rahul,9359753626,rahul176@gmail.com,Thrissur,UG,Python Full Stack Development,Offline,3/9/2025,Baiju,Admitted
ADM0177,STU0177,Rahul,9554176647,rahul177@gmail.com,Kannur,UG,Data Science with Python,Online,3/9/2025,Praveena,Admitted
ADM0178,STU0178,Ajay,9661472247,ajay178@gmail.com,Palakkad,Working Professional,Data Science with Python,Offline,3/9/2025,Rifana,Admitted
ADM0179,STU0179,Irfan,9222319288,irfan179@gmail.com,Kottayam,Working Professional,Python Full Stack Development,Offline,3/9/2025,Shivaprasad,Admitted
ADM0180,STU0180,Varun,9752016862,varun180@gmail.com,Thrissur,UG,Data Science with Python,Online,3/10/2025,Rifana,Admitted
ADM0181,STU0181,Ajay,9592735687,ajay181@gmail.com,Calicut,PG,DevOps,Offline,3/10/2025,Baiju,Admitted
ADM0182,STU0182,Naveen,9772545829,naveen182@gmail.com,Kochi,UG,Data Science with Python,Offline,3/11/2025,Shivaprasad,Admitted
ADM0183,STU0183,Tanya,9809171505,tanya183@gmail.com,Trivandrum,UG,Data Science with Python,Offline,3/11/2025,Praveena,Admitted
ADM0184,STU0184,Farhan,9163349108,farhan184@gmail.com,Trivandrum,UG,Data Science with Python,Offline,3/11/2025,Shivaprasad,Admitted
ADM0185,STU0185,Tanya,9850406570,tanya185@gmail.com,Palakkad,UG,Data Science with Python,Offline,3/11/2025,Rifana,Admitted
ADM0186,STU0186,Manoj,9771647980,manoj186@gmail.com,Kottayam,UG,Cyber Security,Offline,3/11/2025,Rifana,Admitted
ADM0187,STU0187,Sneha,9782059453,sneha187@gmail.com,Kottayam,UG,Data Science with Python,Offline,3/11/2025,Shivaprasad,Admitted
ADM0188,STU0188,Faisal,9773329969,faisal188@gmail.com,Thrissur,UG,Data Science with Python,Offline,3/12/2025,Baiju,Admitted
ADM0189,STU0189,Varun,9807225213,varun189@gmail.com,Kochi,UG,Data Science with Python,Offline,3/12/2025,Shivaprasad,Admitted
ADM0190,STU0190,Sneha,9484370431,sneha190@gmail.com,Calicut,Working Professional,Business Analytics,Offline,3/12/2025,Rifana,Admitted
ADM0191,STU0191,Rahul,9211039303,rahul191@gmail.com,Kannur,PG,Flutter Development,Offline,3/12/2025,Shivaprasad,Admitted
ADM0192,STU0192,Sanjay,9377278940,sanjay192@gmail.com,Thrissur,UG,React Frontend Developer,Offline,3/12/2025,Shivaprasad,Admitted
ADM0193,STU0193,Divya,9611803828,divya193@gmail.com,Kannur,UG,Python Full Stack Development,Offline,3/13/2025,Rifana,Admitted
ADM0194,STU0194,Rahul,9258932709,rahul194@gmail.com,Palakkad,UG,Data Science with Python,Offline,3/13/2025,Baiju,Admitted
ADM0195,STU0195,Aman,9519032167,aman195@gmail.com,Calicut,UG,Data Science with Python,Offline,3/13/2025,Rifana,Admitted
ADM0196,STU0196,Aisha,9155731357,aisha196@gmail.com,Kottayam,UG,UI/UX Design,Offline,3/13/2025,Praveena,Admitted
